flow_bpd,eff
0.768376,0.3125
7.87495,0.46875
14.9815,1.09375
22.0881,1.40625
29.1947,1.875
36.3013,2.34375
43.4078,2.65625
50.5144,3.28125
57.621,3.59375
64.7276,4.0625
71.8341,4.53125
78.9407,5
86.0473,5.46875
93.1539,5.78125
100.26,6.25
107.367,6.71875
114.474,7.1875
121.58,7.65625
128.687,7.96875
135.793,8.4375
142.9,8.90625
150.006,9.375
157.113,9.84375
164.22,10.1562
171.326,10.7812
178.433,11.0938
185.539,11.4062
192.646,12.0312
199.753,12.3438
206.859,12.6562
213.966,13.2812
221.072,13.5938
228.179,13.9062
235.285,14.5312
242.392,14.8438
249.499,15.3125
256.605,15.7812
263.712,16.0938
270.818,16.4062
277.925,17.0312
285.031,17.3438
292.138,17.6562
299.245,17.9688
306.351,18.5938
313.458,18.9062
320.564,19.2188
327.671,19.6875
334.777,20.1562
341.884,20.4688
348.991,20.7812
356.097,21.0938
363.204,21.4062
370.31,22.0312
377.417,22.3438
384.524,22.6562
391.63,22.9688
398.737,23.2812
405.843,23.75
412.95,24.2188
420.056,24.5312
427.163,24.8438
434.27,25.1562
441.376,25.4688
448.483,25.7812
455.589,26.0938
462.696,26.4062
469.802,26.7188
476.909,27.1875
484.016,27.5
491.122,27.8125
498.229,28.125
505.335,28.4375
512.442,28.75
519.548,29.0625
526.655,29.375
533.762,29.6875
540.868,30
547.975,30.3125
555.081,30.625
562.188,30.9375
569.295,31.25
576.401,31.5625
583.508,31.7188
590.614,32.0312
597.721,32.3438
604.827,32.6562
611.934,32.9688
619.041,33.125
626.147,33.4375
633.254,33.75
640.36,34.0625
647.467,34.2188
654.573,34.5312
661.68,34.8438
668.787,35
675.893,35.3125
683,35.625
690.106,35.7812
697.213,36.0938
704.32,36.25
711.426,36.5625
718.533,36.875
725.639,37.0312
732.746,37.1875
739.852,37.5
746.959,37.8125
754.066,37.9688
761.172,38.125
768.279,38.4375
775.385,38.5938
782.492,38.75
789.598,39.0625
796.705,39.375
803.812,39.5312
810.918,39.6875
818.025,40
825.131,40.1562
832.238,40.3125
839.344,40.625
846.451,40.625
853.558,40.9375
860.664,41.25
867.771,41.25
874.877,41.5625
881.984,41.7187
889.091,41.875
896.197,42.1875
903.304,42.3437
910.41,42.5
917.517,42.6562
924.623,42.8125
931.73,43.125
938.837,43.125
945.943,43.4375
953.05,43.4375
960.156,43.75
967.263,43.9062
974.369,44.0625
981.476,44.0625
988.583,44.375
995.689,44.5312
1002.8,44.6875
1009.9,44.8437
1017.01,45
1024.12,45.1562
1031.22,45.3125
1038.33,45.4687
1045.44,45.625
1052.54,45.7812
1059.65,45.9375
1066.75,46.25
1073.86,46.25
1080.97,46.25
1088.07,46.5625
1095.18,46.5625
1102.29,46.875
1109.39,46.875
1116.5,47.1875
1123.61,47.1875
1130.71,47.5
1137.82,47.5
1144.93,47.5
1152.03,47.8125
1159.14,47.8125
1166.25,48.125
1173.35,48.125
