flow_bpd,head
0.142583,37.5516
0.616066,37.5516
1.08955,37.5516
1.56303,37.5071
2.03652,37.5071
2.51,37.5071
2.98348,37.5071
3.45697,37.5071
3.93045,37.4626
4.40393,37.4626
4.87741,37.4626
5.3509,37.4181
5.82438,37.4181
6.29786,37.4181
6.77135,37.4181
7.24483,37.3736
7.71831,37.3736
8.1918,37.3736
8.66528,37.3291
9.13876,37.3291
9.61225,37.3291
10.0857,37.2846
10.5592,37.2846
11.0327,37.2846
11.5062,37.24
11.9797,37.24
12.4531,37.24
12.9266,37.1955
13.4001,37.1955
13.8736,37.151
14.3471,37.151
14.8206,37.151
15.294,37.151
15.7675,37.1065
16.241,37.1065
16.7145,37.1065
17.188,37.062
17.6615,37.062
18.1349,37.0175
18.6084,37.0175
19.0819,36.9729
19.5554,36.9729
20.0289,36.9729
20.5024,36.9284
20.9758,36.9284
21.4493,36.8839
21.9228,36.8839
22.3963,36.8839
22.8698,36.8394
23.3433,36.8394
23.8167,36.7949
24.2902,36.7949
24.7637,36.7504
25.2372,36.7504
25.7107,36.7059
26.1842,36.7059
26.6576,36.7059
27.1311,36.6613
27.6046,36.6613
28.0781,36.6168
28.5516,36.6168
29.0251,36.5723
29.4985,36.5723
29.972,36.5278
30.4455,36.5278
30.919,36.4833
31.3925,36.4833
31.866,36.4388
32.3394,36.4388
32.8129,36.3943
33.2864,36.3943
33.7599,36.3497
34.2334,36.3497
34.7069,36.3052
35.1803,36.3052
35.6538,36.2607
36.1273,36.2607
36.6008,36.2162
37.0743,36.1717
37.5478,36.1717
38.0212,36.1717
38.4947,36.1272
38.9682,36.0826
39.4417,36.0826
39.9152,36.0381
40.3887,36.0381
40.8621,35.9936
41.3356,35.9936
41.8091,35.9491
42.2826,35.9046
42.7561,35.9046
43.2295,35.8601
43.703,35.8601
44.1765,35.8156
44.65,35.8156
45.1235,35.771
45.597,35.7265
46.0704,35.7265
46.5439,35.682
47.0174,35.6375
47.4909,35.6375
47.9644,35.593
48.4379,35.5485
48.9113,35.5485
49.3848,35.504
49.8583,35.504
50.3318,35.4594
50.8053,35.4594
51.2788,35.4149
51.7522,35.3704
52.2257,35.3704
52.6992,35.3259
53.1727,35.2814
53.6462,35.2814
54.1197,35.2369
54.5931,35.1923
55.0666,35.1923
55.5401,35.1478
56.0136,35.1033
56.4871,35.1033
56.9606,35.0588
57.434,35.0143
57.9075,35.0143
58.381,34.9698
58.8545,34.9253
59.328,34.9253
59.8015,34.8362
60.2749,34.8362
60.7484,34.8362
61.2219,34.7472
61.6954,34.7472
62.1689,34.7027
62.6424,34.6582
63.1158,34.6582
63.5893,34.6137
64.0628,34.5691
64.5363,34.5691
65.0098,34.4801
65.4833,34.4801
65.9567,34.4801
66.4302,34.4356
66.9037,34.3911
67.3772,34.3466
67.8507,34.302
68.3242,34.302
68.7976,34.213
69.2711,34.213
69.7446,34.1685
70.2181,34.124
70.6916,34.124
71.1651,34.0795
71.6385,34.035
72.112,33.9904
72.5855,33.9459
73.059,33.9459
73.5325,33.9014
74.006,33.8569
74.4794,33.8569
74.9529,33.7679
75.4264,33.7679
75.8999,33.7233
76.3734,33.6788
76.8469,33.6788
77.3203,33.5898
77.7938,33.5898
78.2673,33.5453
78.7408,33.5008
79.2143,33.5008
79.6878,33.4117
80.1612,33.4117
80.6347,33.3227
81.1082,33.3227
81.5817,33.2782
82.0552,33.2337
82.5287,33.2337
83.0021,33.1447
83.4756,33.1447
83.9491,33.0556
84.4226,33.0556
84.8961,33.0111
85.3696,32.9666
85.843,32.9666
86.3165,32.8776
86.79,32.8776
87.2635,32.7885
87.737,32.7885
88.2104,32.744
88.6839,32.6995
89.1574,32.655
89.6309,32.6105
90.1044,32.6105
90.5779,32.5214
91.0513,32.5214
91.5248,32.4324
91.9983,32.4324
92.4718,32.3434
92.9453,32.3434
93.4188,32.2989
93.8922,32.2544
94.3657,32.2098
94.8392,32.1653
95.3127,32.1208
95.7862,32.0763
96.2597,32.0763
96.7331,31.9873
97.2066,31.9873
97.6801,31.8982
98.1536,31.8982
98.6271,31.8092
99.1006,31.8092
99.574,31.7202
100.048,31.7202
100.521,31.6311
100.994,31.6311
101.468,31.5421
101.941,31.5421
102.415,31.4531
102.888,31.4531
103.362,31.3641
103.835,31.3641
104.309,31.275
104.782,31.275
105.256,31.186
105.729,31.186
106.203,31.097
106.676,31.097
107.15,31.0079
107.623,31.0079
108.097,30.9189
108.57,30.9189
109.044,30.8299
109.517,30.8299
109.991,30.7408
110.464,30.7408
110.938,30.6518
111.411,30.6518
111.885,30.5628
112.358,30.5183
112.832,30.4738
113.305,30.4292
113.779,30.3847
114.252,30.2957
114.726,30.2957
115.199,30.2067
115.672,30.2067
116.146,30.1176
116.619,30.0731
117.093,30.0286
117.566,30.0286
118.04,29.9396
118.513,29.8505
118.987,29.8505
119.46,29.7615
119.934,29.7615
120.407,29.6725
120.881,29.6725
121.354,29.5835
121.828,29.5389
122.301,29.4944
122.775,29.4054
123.248,29.4054
123.722,29.3164
124.195,29.3164
124.669,29.2273
125.142,29.2273
125.616,29.1383
126.089,29.0493
126.563,29.0493
127.036,28.9602
127.51,28.9602
127.983,28.8712
128.457,28.7822
128.93,28.7822
129.403,28.6932
129.877,28.6932
130.35,28.6041
130.824,28.5151
131.297,28.5151
131.771,28.4261
132.244,28.4261
132.718,28.337
133.191,28.248
133.665,28.248
134.138,28.159
134.612,28.159
135.085,28.0699
135.559,27.9809
136.032,27.9809
136.506,27.8919
136.979,27.8028
137.453,27.8028
137.926,27.7138
138.4,27.7138
138.873,27.6248
139.347,27.5358
139.82,27.5358
140.294,27.4467
140.767,27.3577
141.241,27.3577
141.714,27.2687
142.188,27.1796
142.661,27.1796
143.134,27.0906
143.608,27.0906
144.081,27.0016
144.555,26.9125
145.028,26.9125
145.502,26.8235
145.975,26.7345
146.449,26.7345
146.922,26.6455
147.396,26.5564
147.869,26.5564
148.343,26.4674
148.816,26.3784
149.29,26.3784
149.763,26.2893
150.237,26.2003
150.71,26.2003
151.184,26.1113
151.657,26.0222
152.131,25.9777
152.604,25.9332
153.078,25.8442
153.551,25.7552
154.025,25.7552
154.498,25.6661
154.972,25.5771
155.445,25.5326
155.919,25.4881
156.392,25.399
156.866,25.31
157.339,25.31
157.812,25.221
158.286,25.1319
158.759,25.1319
159.233,25.0429
159.706,24.9539
160.18,24.9094
160.653,24.8649
161.127,24.7758
161.6,24.6868
162.074,24.6423
162.547,24.5978
163.021,24.5087
163.494,24.4197
163.968,24.3752
164.441,24.3307
164.915,24.2416
165.388,24.1526
165.862,24.1081
166.335,24.0636
166.809,23.9746
167.282,23.8855
167.756,23.841
168.229,23.7965
168.703,23.7075
169.176,23.6184
169.65,23.5294
170.123,23.5294
170.597,23.4404
171.07,23.3513
171.543,23.2623
172.017,23.2623
172.49,23.1733
172.964,23.0843
173.437,22.9952
173.911,22.9062
174.384,22.8617
174.858,22.8172
175.331,22.7281
175.805,22.6391
176.278,22.5501
176.752,22.5056
177.225,22.461
177.699,22.372
178.172,22.283
178.646,22.194
179.119,22.1494
179.593,22.1049
180.066,22.0159
180.54,21.9269
181.013,21.8378
181.487,21.7488
181.96,21.7043
182.434,21.6153
182.907,21.5707
183.381,21.4817
183.854,21.3927
184.328,21.3037
184.801,21.2146
185.274,21.1701
185.748,21.1256
186.221,21.0366
186.695,20.9475
187.168,20.8585
187.642,20.7695
188.115,20.6804
188.589,20.6359
189.062,20.5469
189.536,20.5024
190.009,20.4134
190.483,20.3243
190.956,20.2353
191.43,20.1463
191.903,20.0572
192.377,19.9682
192.85,19.9237
193.324,19.8347
193.797,19.7901
194.271,19.7011
194.744,19.6121
195.218,19.5231
195.691,19.434
196.165,19.345
196.638,19.256
197.112,19.1669
197.585,19.0779
198.059,19.0334
198.532,18.9444
199.006,18.8553
199.479,18.7663
199.952,18.7218
200.426,18.6328
200.899,18.5437
201.373,18.4547
201.846,18.3657
202.32,18.2766
202.793,18.1876
203.267,18.0986
203.74,18.0095
204.214,17.9205
204.687,17.8315
205.161,17.7425
205.634,17.6534
206.108,17.5644
206.581,17.4754
207.055,17.3863
207.528,17.2973
208.002,17.2083
208.475,17.1192
208.949,17.0302
209.422,16.9412
209.896,16.8522
210.369,16.7631
210.843,16.6741
211.316,16.5851
211.79,16.496
212.263,16.407
212.737,16.318
213.21,16.2289
213.683,16.1399
214.157,16.0509
214.63,15.9619
215.104,15.8728
215.577,15.7838
216.051,15.6948
216.524,15.6057
216.998,15.5612
217.471,15.2941
217.945,15.2496
218.418,15.2051
218.892,15.1161
219.365,15.027
219.839,14.938
220.312,14.8045
220.786,14.7154
221.259,14.6264
221.733,14.5374
222.206,14.4483
