flow_bpd,eff
7.01698,0.373134
9.62732,0.970149
12.2377,1.19403
14.848,1.41791
17.4583,1.71642
20.0687,1.9403
22.679,2.16418
25.2894,2.46269
27.8997,2.68657
30.5101,2.91045
33.1204,3.13433
35.7307,3.43284
38.3411,3.65672
40.9514,3.95522
43.5618,4.10448
46.1721,4.40299
48.7825,4.62687
51.3928,4.85075
54.0031,5.07463
56.6135,5.37313
59.2238,5.59701
61.8342,5.89552
64.4445,6.04478
67.0548,6.26866
72.2755,6.86567
74.8859,7.01493
77.4962,7.23881
80.1066,7.53731
82.7169,7.68657
85.3272,7.91045
87.9376,8.13433
90.5479,8.35821
93.1583,8.65672
95.7686,8.80597
98.379,9.10448
100.989,9.32836
103.6,9.55224
106.21,9.77612
108.82,10
111.431,10.2239
114.041,10.4478
116.651,10.6716
119.262,10.8955
121.872,11.1194
124.482,11.2687
127.093,11.5672
129.703,11.791
132.313,12.0149
134.924,12.1642
137.534,12.4627
140.144,12.6866
142.755,12.9104
145.365,13.1343
147.975,13.3582
150.586,13.5075
153.196,13.806
155.806,14.0299
158.417,14.1791
161.027,14.4776
163.638,14.7015
166.248,14.8507
168.858,15.0746
171.469,15.2985
174.079,15.5224
176.689,15.7463
179.3,15.9701
181.91,16.1194
184.52,16.4179
187.131,16.5672
189.741,16.791
192.351,17.0149
194.962,17.2388
197.572,17.4627
200.182,17.6866
202.793,17.9104
205.403,18.0597
208.013,18.2836
210.624,18.5075
213.234,18.6567
215.844,18.8806
218.455,19.1045
221.065,19.2537
223.675,19.5522
226.286,19.7015
228.896,19.9254
231.506,20.0746
234.117,20.2985
236.727,20.5224
239.337,20.7463
241.948,20.9701
244.558,21.1194
247.168,21.2687
249.779,21.5672
252.389,21.7164
254.999,21.9403
257.61,22.0896
260.22,22.2388
262.831,22.5373
265.441,22.6866
268.051,22.8358
270.662,23.0597
273.272,23.2836
275.882,23.4328
278.493,23.5821
281.103,23.8806
283.713,24.0299
286.324,24.1791
288.934,24.403
291.544,24.6269
294.155,24.7761
296.765,24.9254
299.375,25.1493
301.986,25.3731
304.596,25.5224
307.206,25.6716
309.817,25.8955
312.427,26.1194
315.037,26.2687
317.648,26.4179
320.258,26.5672
322.868,26.8657
325.479,27.0149
328.089,27.1642
330.699,27.3134
333.31,27.4627
335.92,27.6119
338.53,27.9104
341.141,28.0597
343.751,28.209
346.361,28.3582
348.972,28.5075
351.582,28.6567
354.192,28.806
356.803,29.1045
359.413,29.2537
362.024,29.403
364.634,29.5522
367.244,29.7761
369.855,29.9254
372.465,30
375.075,30.2239
377.686,30.4478
380.296,30.597
382.906,30.7463
385.517,30.8955
388.127,31.0448
390.737,31.194
393.348,31.3433
395.958,31.6418
398.568,31.791
401.179,31.9403
403.789,32.0896
406.399,32.2388
409.01,32.3881
411.62,32.5373
414.23,32.6866
416.841,32.8358
419.451,33.0597
422.061,33.209
424.672,33.4328
427.282,33.5821
429.892,33.7313
432.503,33.8806
435.113,34.0299
437.723,34.1791
440.334,34.3284
442.944,34.4776
445.554,34.6269
448.165,34.8507
450.775,34.9254
453.385,35.0746
455.996,35.2239
458.606,35.3731
461.217,35.597
463.827,35.8209
466.437,35.9701
469.048,36.1194
471.658,36.2687
474.268,36.4179
476.879,36.5672
479.489,36.6418
482.099,36.8657
484.71,37.0149
487.32,37.1642
489.93,37.3134
492.541,37.4627
495.151,37.6119
497.761,37.7612
500.372,37.9104
502.982,38.0597
505.592,38.209
508.203,38.3582
510.813,38.5075
513.423,38.6567
516.034,38.806
518.644,38.9552
521.254,39.1045
523.865,39.2537
526.475,39.403
529.085,39.5522
531.696,39.6269
534.306,39.8507
536.916,40
539.527,40
542.137,40.1493
544.747,40.2985
547.358,40.4478
549.968,40.597
552.578,40.7463
555.189,40.8955
557.799,41.0448
560.41,41.1194
563.02,41.2687
565.63,41.4179
568.241,41.4925
570.851,41.6418
573.461,41.791
576.072,41.9403
578.682,42.0896
581.292,42.2388
583.903,42.3134
586.513,42.4627
589.123,42.5373
591.734,42.6866
594.344,42.8358
596.954,42.9851
599.565,43.1343
602.175,43.209
604.785,43.3582
607.396,43.4328
610.006,43.5821
