flow_bpd,power
29.1431,31.2934
218.61,31.2934
408.077,31.4714
597.543,31.4714
787.01,31.4714
976.477,31.6493
1165.94,31.8273
1355.41,31.8273
1544.88,31.8273
1734.34,32.0052
1923.81,32.1832
2113.28,32.1832
2302.74,32.3611
2492.21,32.5391
2681.68,32.5391
2871.14,32.5391
3060.61,32.717
3250.08,32.895
3439.54,32.895
3629.01,33.0729
3818.48,33.2509
4007.94,33.2509
4197.41,33.4288
4386.88,33.6068
4576.34,33.6068
4765.81,33.7847
4955.28,33.9626
5144.74,33.9626
5334.21,34.1406
5523.68,34.3185
5713.14,34.3185
5902.61,34.4965
6092.08,34.6744
6281.55,34.6744
6471.01,34.8524
6660.48,35.0303
6849.95,35.0303
7039.41,35.2083
7228.88,35.3862
7418.35,35.3862
7607.81,35.7421
7797.28,35.7421
7986.75,35.9201
8176.21,36.098
8365.68,36.098
8555.15,36.276
8744.61,36.4539
8934.08,36.4539
9123.55,36.8098
9313.01,36.8098
9502.48,36.9877
9691.95,37.1657
9881.41,37.1657
10070.9,37.5216
10260.3,37.5216
10449.8,37.6995
10639.3,37.8775
10828.7,37.8775
11018.2,38.2334
11207.7,38.2334
11397.1,38.4113
11586.6,38.5893
11776.1,38.7672
11965.5,38.9452
12155,38.9452
12344.5,39.301
12533.9,39.301
12723.4,39.479
12912.9,39.6569
13102.3,39.6569
13291.8,40.0128
13481.3,40.0128
13670.7,40.3687
13860.2,40.3687
14049.7,40.5467
14239.1,40.7246
14428.6,40.9026
14618.1,41.0805
14807.5,41.0805
14997,41.4364
15186.5,41.4364
15375.9,41.7923
15565.4,41.7923
15754.9,42.1482
15944.3,42.1482
16133.8,42.3261
16323.3,42.5041
16512.7,42.682
16702.2,42.86
16891.7,43.0379
17081.1,43.2159
17270.6,43.2159
17460.1,43.5718
17649.5,43.5718
17839,43.9277
18028.5,43.9277
18217.9,44.2836
18407.4,44.2836
18596.9,44.6394
18786.3,44.6394
18975.8,44.9953
19165.3,44.9953
19354.7,45.3512
19544.2,45.3512
19733.7,45.5292
19923.1,45.7071
20112.6,45.8851
20302.1,46.063
20491.5,46.241
20681,46.4189
20870.5,46.5969
21059.9,46.7748
21249.4,46.9528
21438.9,47.1307
21628.4,47.3087
21817.8,47.4866
22007.3,47.6645
22196.8,47.8425
22386.2,48.0204
22575.7,48.1984
22765.2,48.3763
22954.6,48.5543
23144.1,48.7322
23333.6,48.9102
23523,49.0881
23712.5,49.2661
23902,49.622
24091.4,49.622
24280.9,49.9779
24470.4,49.9779
24659.8,50.1558
24849.3,50.3337
25038.8,50.6896
25228.2,50.6896
25417.7,51.0455
25607.2,51.0455
25796.6,51.4014
25986.1,51.4014
26175.6,51.7573
26365,51.7573
26554.5,52.1132
26744,52.1132
26933.4,52.4691
27122.9,52.4691
27312.4,52.825
27501.8,52.825
27691.3,53.1809
27880.8,53.3588
28070.2,53.5368
28259.7,53.7147
28449.2,53.8927
28638.6,54.0706
28828.1,54.2486
29017.6,54.4265
29207,54.6045
29396.5,54.9604
29586,54.9604
29775.4,55.3163
29964.9,55.3163
30154.4,55.6721
30343.8,55.6721
30533.3,56.028
30722.8,56.028
30912.2,56.3839
31101.7,56.3839
31291.2,56.7398
31480.6,56.9178
31670.1,57.0957
31859.6,57.2737
32049,57.4516
32238.5,57.6296
32428,57.8075
32617.4,57.9855
32806.9,58.1634
32996.4,58.5193
33185.8,58.5193
33375.3,58.8752
33564.8,58.8752
33754.2,59.2311
33943.7,59.2311
34133.2,59.587
34322.6,59.587
34512.1,59.9429
34701.6,59.9429
34891,60.2988
35080.5,60.2988
35270,60.6547
35459.4,60.8326
35648.9,61.0105
35838.4,61.1885
36027.8,61.3664
36217.3,61.5444
36406.8,61.7223
36596.2,61.9003
36785.7,62.0782
36975.2,62.4341
37164.6,62.4341
37354.1,62.79
37543.6,62.79
37733,63.1459
37922.5,63.1459
38112,63.3239
38301.4,63.5018
38490.9,63.8577
38680.4,63.8577
38869.8,64.2136
39059.3,64.2136
39248.8,64.5695
39438.2,64.5695
39627.7,64.9254
39817.2,64.9254
40006.6,65.2813
40196.1,65.2813
40385.6,65.6372
40575,65.6372
40764.5,65.9931
40954,65.9931
41143.4,66.3489
41332.9,66.3489
41522.4,66.7048
41711.8,66.7048
41901.3,67.0607
42090.8,67.0607
42280.2,67.4166
42469.7,67.5946
42659.2,67.7725
42848.6,67.9505
43038.1,68.1284
43227.6,68.3064
43417,68.4843
43606.5,68.4843
43796,68.8402
43985.4,68.8402
44174.9,69.1961
44364.4,69.1961
44553.8,69.552
44743.3,69.552
44932.8,69.9079
45122.2,69.9079
45311.7,70.2638
45501.2,70.2638
45690.6,70.6197
45880.1,70.6197
46069.6,70.9756
46259,70.9756
46448.5,71.3315
46638,71.3315
46827.4,71.6873
47016.9,71.6873
47206.4,72.0432
47395.8,72.0432
47585.3,72.3991
47774.8,72.3991
47964.2,72.5771
48153.7,72.755
48343.2,72.933
48532.6,73.1109
48722.1,73.2889
48911.6,73.4668
49101,73.4668
49290.5,73.8227
49480,74.0007
49669.4,74.1786
49858.9,74.1786
50048.4,74.5345
50237.8,74.5345
50427.3,74.7124
50616.8,74.8904
50806.2,74.8904
50995.7,75.2463
51185.2,75.2463
51374.6,75.6022
51564.1,75.6022
51753.6,75.7801
51943,75.9581
52132.5,76.136
52322,76.314
52511.4,76.314
52700.9,76.6699
52890.4,76.6699
53079.8,76.8478
53269.3,77.0257
53458.8,77.2037
53648.2,77.3816
53837.7,77.3816
54027.2,77.7375
54216.6,77.7375
54406.1,77.9155
54595.6,78.0934
54785,78.2714
54974.5,78.4493
55164,78.4493
55353.4,78.8052
55542.9,78.8052
55732.4,78.9832
55921.8,79.1611
56111.3,79.1611
56300.8,79.517
56490.2,79.517
56679.7,79.6949
56869.2,79.8729
57058.6,79.8729
57248.1,80.0508
57437.6,80.2288
57627,80.2288
57816.5,80.5847
58006,80.5847
58195.4,80.7626
58384.9,80.9406
58574.4,80.9406
58763.8,81.1185
58953.3,81.2965
59142.8,81.4744
59332.2,81.6524
59521.7,81.6524
59711.2,81.8303
59900.6,82.0083
60090.1,82.0083
60279.6,82.1862
60469,82.3641
60658.5,82.5421
60848,82.5421
61037.4,82.72
61226.9,82.72
61416.4,82.898
61605.8,83.0759
61795.3,83.0759
61984.8,83.4318
62174.2,83.4318
62363.7,83.4318
62553.2,83.6098
62742.6,83.7877
62932.1,83.9657
63121.6,83.9657
63311,84.1436
63500.5,84.1436
63690,84.3216
63879.4,84.4995
64068.9,84.4995
64258.4,84.6775
64447.8,84.8554
64637.3,84.8554
64826.8,85.0333
65016.2,85.2113
65205.7,85.2113
65395.2,85.2113
65584.6,85.3892
65774.1,85.5672
65963.6,85.5672
66153,85.7451
66342.5,85.9231
66532,85.9231
66721.4,85.9231
66910.9,86.101
67100.4,86.279
67289.8,86.279
67479.3,86.4569
67668.8,86.4569
67858.2,86.6349
68047.7,86.6349
68237.2,86.8128
68426.6,86.8128
68616.1,86.9908
68805.6,86.9908
68995,87.1687
69184.5,87.1687
69374,87.3467
69563.4,87.3467
69752.9,87.5246
69942.4,87.5246
70131.8,87.7025
70321.3,87.7025
70510.8,87.8805
70700.2,87.8805
70889.7,88.0584
71079.2,88.0584
71268.6,88.0584
71458.1,88.2364
71647.6,88.2364
71837,88.4143
72026.5,88.4143
72216,88.4143
72405.4,88.5923
72594.9,88.5923
72784.4,88.7702
72973.8,88.7702
73163.3,88.7702
73352.8,88.9482
73542.2,88.9482
73731.7,89.1261
73921.2,89.1261
74110.6,89.1261
74300.1,89.3041
74489.6,89.3041
74679,89.3041
74868.5,89.482
75058,89.482
75247.4,89.482
75436.9,89.482
75626.4,89.66
75815.8,89.66
76005.3,89.8379
76194.8,89.8379
76384.2,89.8379
76573.7,89.8379
76763.2,90.0159
76952.6,90.0159
77142.1,90.0159
77331.6,90.0159
77521,90.1938
77710.5,90.1938
77900,90.1938
78089.4,90.1938
78278.9,90.1938
78468.4,90.3718
78657.8,90.3718
78847.3,90.3718
79036.8,90.3718
79226.2,90.5497
79415.7,90.5497
79605.2,90.5497
79794.6,90.5497
79984.1,90.5497
80173.6,90.5497
80363,90.7276
80552.5,90.7276
80742,90.7276
80931.4,90.7276
81120.9,90.7276
81310.4,90.9056
81499.8,90.9056
81689.3,90.9056
81878.8,90.9056
82068.2,90.9056
82257.7,90.9056
82447.2,90.9056
82636.6,90.9056
82826.1,90.9056
83015.6,90.9056
83205,91.0835
83394.5,91.0835
83584,91.0835
83773.4,91.0835
83962.9,91.0835
84152.4,91.0835
84341.8,91.0835
84531.3,91.0835
84720.8,91.0835
84910.2,91.0835
85099.7,91.0835
85289.2,91.0835
85478.6,91.0835
85668.1,91.0835
85857.6,91.0835
86047,91.0835
86236.5,91.0835
86426,91.0835
86615.4,91.0835
86804.9,91.0835
86994.4,91.0835
87183.8,91.0835
87373.3,91.0835
87562.8,91.0835
87752.2,91.0835
87941.7,90.9056
88131.2,90.9056
88320.6,90.9056
88510.1,90.9056
88699.6,90.9056
88889,90.9056
89078.5,90.9056
89268,90.9056
89457.4,90.9056
89646.9,90.9056
89836.4,90.7276
90025.8,90.7276
90215.3,90.7276
90404.8,90.7276
90594.2,90.7276
90783.7,90.7276
90973.2,90.5497
91162.6,90.5497
91352.1,90.5497
91541.6,90.5497
91731,90.5497
91920.5,90.5497
92110,90.3718
92299.4,90.3718
92488.9,90.3718
92678.4,90.3718
92867.8,90.1938
93057.3,90.1938
93246.8,90.1938
93436.2,90.1938
93625.7,90.1938
93815.2,90.0159
94004.6,90.0159
94194.1,90.0159
94383.6,90.0159
94573,89.8379
94762.5,89.8379
94952,89.8379
95141.4,89.66
95330.9,89.66
95520.4,89.482
95709.8,89.482
95899.3,89.482
96088.8,89.482
96278.2,89.3041
96467.7,89.3041
96657.2,89.3041
96846.6,89.1261
97036.1,89.1261
97225.6,89.1261
97415,88.9482
97604.5,88.9482
97794,88.7702
97983.4,88.7702
98172.9,88.7702
98362.4,88.5923
98551.8,88.5923
98741.3,88.4143
98930.8,88.4143
99120.2,88.4143
99309.7,88.2364
99499.2,88.0584
99688.6,88.0584
99878.1,88.0584
100068,87.8805
100257,87.8805
100447,87.7025
100636,87.7025
100825,87.5246
101015,87.5246
101204,87.3467
101394,87.3467
101583,87.1687
101773,87.1687
101962,86.9908
102152,86.9908
102341,86.8128
102531,86.6349
102720,86.6349
102910,86.6349
103099,86.4569
103289,86.279
103478,86.279
103667,86.101
103857,85.9231
104046,85.9231
104236,85.9231
104425,85.7451
104615,85.5672
104804,85.5672
104994,85.3892
105183,85.2113
105373,85.2113
105562,85.0333
105752,84.8554
105941,84.8554
106131,84.8554
106320,84.4995
106509,84.4995
106699,84.3216
106888,84.1436
107078,84.1436
107267,83.9657
107457,83.7877
107646,83.7877
107836,83.6098
108025,83.4318
108215,83.4318
108404,83.2539
108594,83.0759
108783,83.0759
108973,82.898
109162,82.72
109351,82.5421
109541,82.3641
109730,82.3641
109920,82.1862
110109,82.0083
110299,82.0083
110488,81.6524
110678,81.6524
110867,81.4744
111057,81.2965
111246,81.2965
111436,81.1185
111625,80.9406
111815,80.7626
112004,80.5847
112193,80.5847
