flow_bpd,eff
64.4047,0.529938
135.13,0.529938
205.856,0.726769
276.581,0.9236
347.307,1.31726
418.032,1.61251
488.758,1.90776
559.483,2.203
630.209,2.49825
700.934,2.7935
771.66,3.08874
842.385,3.38399
913.111,3.67924
983.836,3.97448
1054.56,4.26973
1125.29,4.56498
1196.01,4.86022
1266.74,5.15547
1337.46,5.45072
1408.19,5.74596
1478.91,5.9428
1549.64,6.33646
1620.37,6.6317
1691.09,6.82854
1761.82,7.2222
1832.54,7.51745
1903.27,7.71428
1973.99,8.00952
2044.72,8.30477
2115.44,8.60002
2186.17,8.89526
2256.89,9.19051
2327.62,9.48576
2398.35,9.68259
2469.07,9.87942
2539.8,10.1747
2610.52,10.4699
2681.25,10.7652
2751.97,10.962
2822.7,11.3557
2893.42,11.5525
2964.15,11.8477
3034.88,12.0446
3105.6,12.3398
3176.33,12.4382
3247.05,13.0287
3317.78,13.2255
3388.5,13.4224
3459.23,13.7176
3529.95,13.9145
3600.68,14.2097
3671.4,14.505
3742.13,14.7018
3812.86,14.997
3883.58,15.2923
3954.31,15.5875
4025.03,15.7844
4095.76,15.9812
4166.48,16.2764
4237.21,16.5717
4307.93,16.8669
4378.66,17.0638
4449.38,17.359
4520.11,17.6543
4590.84,17.8511
4661.56,18.0479
4732.29,18.4416
4803.01,18.6384
4873.74,18.8352
4944.46,19.1305
5015.19,19.3273
5085.91,19.6226
5156.64,19.8194
5227.37,20.1146
5298.09,20.4099
5368.82,20.6067
5439.54,20.902
5510.27,21.1972
5580.99,21.394
5651.72,21.5909
5722.44,21.8861
5793.17,22.1814
5863.89,22.3782
5934.62,22.575
6005.35,22.8703
6076.07,23.1655
6146.8,23.3624
6217.52,23.5592
6288.25,23.756
6358.97,24.0513
6429.7,24.3465
6500.42,24.5433
6571.15,24.7402
6641.87,25.0354
6712.6,25.3307
6783.33,25.5275
6854.05,25.7243
6924.78,25.9212
6995.5,26.2164
7066.23,26.5117
7136.95,26.7085
7207.68,26.9053
7278.4,27.1021
7349.13,27.4958
7419.86,27.6926
7490.58,27.8895
7561.31,28.0863
7632.03,28.2831
7702.76,28.6768
7773.48,28.8736
7844.21,29.0705
7914.93,29.2673
7985.66,29.5625
8056.38,29.8578
8127.11,29.9562
8197.84,30.2514
8268.56,30.4483
8339.29,30.6451
8410.01,30.8419
8480.74,31.2356
8551.46,31.4324
8622.19,31.6293
8692.91,31.8261
8763.64,32.0229
8834.37,32.2198
8905.09,32.6134
8975.82,32.8103
9046.54,33.0071
9117.27,33.2039
9187.99,33.4007
9258.72,33.5976
9329.44,33.7944
9400.17,34.0897
