flow_bpd,head
9.67577,156.923
64.9456,156.745
120.215,156.923
175.485,156.923
230.755,156.923
286.025,156.923
341.295,157.101
396.564,157.101
451.834,157.101
507.104,157.101
562.374,157.279
617.644,157.279
672.914,157.279
728.183,157.279
783.453,157.279
838.723,157.279
893.993,157.279
949.263,157.279
1004.53,157.279
1059.8,157.279
1115.07,157.279
1170.34,157.457
1225.61,157.457
1280.88,157.457
1336.15,157.279
1391.42,157.279
1446.69,157.279
1501.96,157.279
1557.23,157.279
1612.5,157.101
1667.77,157.101
1723.04,157.101
1778.31,157.101
1833.58,157.101
1888.85,157.101
1944.12,156.923
1999.39,156.923
2054.66,156.923
2109.93,156.745
2165.2,156.745
2220.47,156.745
2275.74,156.568
2331.01,156.568
2386.28,156.568
2441.55,156.39
2496.82,156.39
2552.09,156.39
2607.36,156.212
2662.63,156.212
2717.9,156.034
2773.17,156.034
2828.44,155.856
2883.71,155.856
2938.98,155.678
2994.25,155.678
3049.52,155.5
3104.79,155.5
3160.06,155.322
3215.32,155.322
3270.59,155.144
3325.86,154.966
3381.13,154.966
3436.4,154.788
3491.67,154.788
3546.94,154.61
3602.21,154.61
3657.48,154.432
3712.75,154.254
3768.02,154.254
3823.29,154.076
3878.56,153.898
3933.83,153.898
3989.1,153.72
4044.37,153.542
4099.64,153.542
4154.91,153.364
4210.18,153.186
4265.45,153.186
4320.72,153.008
4375.99,152.83
4431.26,152.652
4486.53,152.474
4541.8,152.474
4597.07,152.296
4652.34,152.118
4707.61,152.118
4762.88,151.762
4818.15,151.762
4873.42,151.584
4928.69,151.406
4983.96,151.406
5039.23,151.05
5094.5,151.05
5149.77,150.873
5205.04,150.695
5260.31,150.695
5315.58,150.339
5370.85,150.339
5426.12,150.161
5481.39,149.983
5536.66,149.805
5591.93,149.627
5647.2,149.449
5702.47,149.271
5757.74,149.271
5813.01,148.915
5868.28,148.915
5923.55,148.737
5978.82,148.559
6034.09,148.381
6089.36,148.203
6144.63,148.025
6199.89,147.847
6255.16,147.847
6310.43,147.491
6365.7,147.491
6420.97,147.313
6476.24,147.135
6531.51,146.957
6586.78,146.779
6642.05,146.601
6697.32,146.423
6752.59,146.423
6807.86,146.067
6863.13,146.067
6918.4,145.711
6973.67,145.711
7028.94,145.355
7084.21,145.355
7139.48,145
7194.75,145
7250.02,144.644
7305.29,144.644
7360.56,144.466
7415.83,144.288
7471.1,144.11
7526.37,143.932
7581.64,143.754
7636.91,143.576
7692.18,143.398
7747.45,143.22
7802.72,143.042
7857.99,142.864
7913.26,142.686
7968.53,142.508
8023.8,142.508
8079.07,142.152
8134.34,142.152
8189.61,141.796
8244.88,141.796
8300.15,141.44
8355.42,141.44
8410.69,141.084
8465.96,141.084
8521.23,140.728
8576.5,140.728
8631.77,140.372
8687.04,140.372
8742.31,140.016
8797.58,140.016
8852.85,139.66
8908.12,139.66
8963.39,139.305
9018.66,139.305
9073.93,139.127
9129.19,138.949
9184.46,138.771
9239.73,138.593
9295,138.415
9350.27,138.237
9405.54,138.059
9460.81,137.881
9516.08,137.703
9571.35,137.525
9626.62,137.347
9681.89,137.169
9737.16,136.991
9792.43,136.813
9847.7,136.813
9902.97,136.457
9958.24,136.457
10013.5,136.101
10068.8,136.101
10124.1,135.745
10179.3,135.745
10234.6,135.389
10289.9,135.389
10345.1,135.033
10400.4,135.033
10455.7,134.855
10510.9,134.677
10566.2,134.499
10621.5,134.321
10676.7,134.143
10732,133.965
10787.3,133.788
10842.6,133.61
10897.8,133.432
10953.1,133.254
11008.4,133.254
11063.6,132.898
11118.9,132.898
11174.2,132.542
11229.4,132.542
11284.7,132.364
11340,132.186
11395.3,131.83
11450.5,131.83
11505.8,131.652
11561.1,131.474
11616.3,131.296
11671.6,131.118
11726.9,130.94
