flow_bpd,power
19.3515,28.0646
129.891,28.0646
240.431,28.0646
350.97,27.9642
461.51,27.9642
572.05,27.8639
682.589,27.8639
793.129,27.8639
903.669,27.7635
1014.21,27.7635
1124.75,27.7635
1235.29,27.6632
1345.83,27.6632
1456.37,27.6632
1566.91,27.6632
1677.45,27.6632
1787.99,27.5628
1898.53,27.5628
2009.06,27.5628
2119.6,27.4625
2230.14,27.4625
2340.68,27.4625
2451.22,27.4625
2561.76,27.4625
2672.3,27.4625
2782.84,27.4625
2893.38,27.4625
3003.92,27.4625
3114.46,27.4625
3225,27.4625
3335.54,27.3621
3446.08,27.3621
3556.62,27.3621
3667.16,27.3621
3777.7,27.3621
3888.24,27.3621
3998.78,27.3621
4109.32,27.3621
4219.86,27.3621
4330.4,27.3621
4440.94,27.3621
4551.48,27.3621
4662.02,27.3621
4772.56,27.4625
4883.1,27.3621
4993.63,27.4625
5104.17,27.4625
5214.71,27.4625
5325.25,27.4625
5435.79,27.4625
5546.33,27.4625
5656.87,27.4625
5767.41,27.5628
5877.95,27.5628
5988.49,27.5628
6099.03,27.5628
6541.19,27.6632
6651.73,27.6632
6762.27,27.6632
6872.81,27.7635
6983.35,27.7635
7093.89,27.7635
7204.43,27.8639
7314.97,27.8639
7425.51,27.8639
7536.05,27.8639
7646.59,27.9642
7757.13,27.9642
7867.67,27.9642
7978.2,28.0646
8088.74,28.0646
8199.28,28.0646
8309.82,28.0646
8420.36,28.165
8530.9,28.165
8641.44,28.165
8751.98,28.2653
8862.52,28.2653
8973.06,28.3657
9083.6,28.3657
9194.14,28.466
9304.68,28.466
9415.22,28.466
9525.76,28.5664
9636.3,28.5664
9746.84,28.6668
9857.38,28.6668
9967.92,28.6668
10078.5,28.7671
10189,28.7671
10299.5,28.8675
10410.1,28.8675
10520.6,28.8675
10631.2,28.9678
10741.7,29.0682
10852.2,29.0682
10962.8,29.0682
11073.3,29.1685
11183.9,29.2689
11294.4,29.2689
11404.9,29.2689
11515.5,29.3693
11626,29.4696
11736.6,29.4696
11847.1,29.4696
11957.6,29.57
12068.2,29.6703
12178.7,29.6703
12289.3,29.6703
12399.8,29.7707
12510.3,29.871
12620.9,29.871
12731.4,29.9714
12841.9,30.0718
12952.5,30.0718
13063,30.0718
13173.6,30.1721
13284.1,30.2725
13394.6,30.2725
13505.2,30.2725
13615.7,30.3728
13726.3,30.4732
13836.8,30.4732
13947.3,30.5736
14057.9,30.6739
14168.4,30.6739
14279,30.7743
14389.5,30.8746
14500,30.8746
14610.6,30.8746
14721.1,30.975
14831.7,31.0753
14942.2,31.0753
15052.7,31.1757
15163.3,31.2761
15273.8,31.2761
15384.4,31.3764
15494.9,31.4768
15605.4,31.4768
15716,31.4768
15826.5,31.5771
15937.1,31.6775
16047.6,31.6775
16158.1,31.7778
16268.7,31.8782
16379.2,31.8782
16489.8,31.9786
16600.3,32.0789
16710.8,32.0789
16821.4,32.1793
16931.9,32.2796
17042.5,32.2796
17153,32.38
17263.5,32.38
17374.1,32.4804
17484.6,32.4804
17595.2,32.6811
17705.7,32.6811
17816.2,32.6811
17926.8,32.7814
18037.3,32.8818
18147.9,32.8818
18258.4,32.9821
18368.9,33.0825
18479.5,33.0825
18590,33.1829
18700.5,33.2832
18811.1,33.2832
18921.6,33.3836
19032.2,33.4839
19142.7,33.4839
19253.2,33.5843
19363.8,33.6846
19474.3,33.6846
19584.9,33.785
19695.4,33.8854
19805.9,33.8854
19916.5,33.9857
20027,34.0861
20137.6,34.0861
20248.1,34.1864
20358.6,34.2868
20469.2,34.2868
20579.7,34.3872
20690.3,34.4875
20800.8,34.4875
20911.3,34.5879
21021.9,34.6882
21132.4,34.6882
21243,34.7886
21353.5,34.8889
21464,34.8889
21574.6,34.8889
21685.1,35.0897
21795.7,35.0897
21906.2,35.0897
22016.7,35.19
22127.3,35.2904
22237.8,35.3907
