manufacturer,model,base_frequency_hz,catalog_source,catalog_version,series,pump_od_in,stage_type,construction,rpm,stages_basis,ror_min_bpd,bep_bpd,ror_max_bpd,flow_min_bpd,flow_max_bpd,shutoff_head_ft_per_stage,bep_eff_pct,bep_bhp_hp_per_stage,shaft_limit_hp,housing_burst_psi,freq_min_hz,freq_max_hz,freq_step_hz,head_c0,head_c1,head_c2,head_c3,head_c4,head_c5,head_c6,head_c7,head_c8,head_c9,bhp_c0,bhp_c1,bhp_c2,bhp_c3,bhp_c4,bhp_c5,bhp_c6,bhp_c7,bhp_c8,bhp_c9,eff_c0,eff_c1,eff_c2,eff_c3,eff_c4,eff_c5,eff_c6,eff_c7,eff_c8,eff_c9,notes
Baker,E8000,60,ESPPump_Coefficients.csv user-supplied 2026-09-15,,,,,,,1,2200,8000,10500,0,13460,,,,,,30,80,10,76.9574584960938,-0.00188076705671847,-2.84389614080283E-07,3.93554216993053E-11,-4.30730610887268E-15,1.02909397836054E-19,,,,,,,,,,,,,,,,,,,,,,,,,Converted from combined string 'Baker E8000' - confirm manufacturer name; head curve only
Centrilift,R2500,60,ESPPump_Coefficients.csv user-supplied 2026-09-15,,,,,,,1,1900,2280,3216,0,3500,,,,,,30,80,10,55.7137788582101,-0.0129268151217755,2.59497540663193E-05,-1.81390921025721E-08,4.68161524135285E-12,-4.37675172151609E-16,,,,,,,,,,,,,,,,,,,,,,,,,Converted from combined string 'Centrilift R2500' - confirm manufacturer name; head curve only; non-monotone below ROR (plan Section 4.3)
REDA,AN1200,50,REDA ESP systems; digitized 2026-09-21,,,3.382,,,2917,1,667,927.2,1377,0,1598.2,14.5537,53.192,0.1221,78,6000,30,80,10,14.5536711142362,-0.00349783276803527,-4.89395234162207e-06,7.3934949972175e-09,-5.91270739064601e-12,1.30997008545784e-15,,,,,0.0924436723906806,4.06515499971901e-05,-1.43896377007646e-07,3.367553635034e-10,-2.71244174119774e-13,6.96212788051161e-17,,,,,0.434808516710547,0.101954070626907,2.55247503246099e-05,-1.84426449987263e-07,1.54024028425715e-10,-4.45752345532796e-14,,,,,"metric sheet converted: m3/d->bpd, m->ft; ROR 106-219 m3/d; burst 41,370 kPa | work folder reda_AN1200"
Centrilift,DC550,60,Weatherford ESP Curves Version 5.2; digitized 2026-09-21,,338,,,,3500,1,340,552,696,0,886.4,23.3167,55.249,0.13226,85,5200,30,80,10,23.3166816657057,0.000757264874522352,-2.07703879430604e-05,5.94277578670154e-08,-1.50451094754629e-10,8.00474966538557e-14,,,,,0.0626378830549874,0.00017235827300189,2.56411578041526e-07,-9.46837652878131e-10,5.7553120338694e-13,4.23942859415963e-17,,,,,0.922169355859523,0.30088085606442,-0.000993529028456437,2.17698106203839e-06,-2.31956844227707e-09,7.83836525556183e-13,,,,,shaft limit = Std Monel (HS Inconel 111 hp); burst = buttress (V-thread 4310 psi); casing 4.5 in | work folder weatherford_DC550
Baker Hughes,FLEX6,60,Baker Hughes ESP performance curve; digitized 2026-09-21,,338,,,,3500,1,480,600,720,0,990.3,25.1995,50.079,0.13238,,,30,80,10,25.1994678852483,-0.0136529500750105,-7.3934454290647e-05,2.91047121187403e-07,-3.94601087878975e-10,1.65547203383512e-13,,,,,0.120754252701842,5.19086338956755e-05,-4.26497964371101e-07,1.46274885231327e-09,-1.89973759371899e-12,8.26596005394647e-16,,,,,-0.694494382415662,0.180371766328547,-0.000375786103160067,7.93707391236818e-07,-9.02640641966935e-10,3.00601785224779e-13,,,,,"ROR = Allowed Operational Range band | QA review accepted: eff: max residual 2.62% of axis span; eff: degree 6 would meet the residual limit (0.95% of span) -- extraction looks clean, 5th-degree form is limiting | work folder baker_FLEX6"
REDA,SN2600,60,REDA ESP systems; digitized 2026-09-21,,,5.38,,,3500,1,1600,2519.2,3200,0,3891.8,62.5637,67.843,1.30124,256,6000,30,80,10,62.5636944062539,0.00327581067175807,-1.5086262432065e-05,9.85144581359669e-09,-2.57329823141922e-12,1.82290052024829e-16,,,,,0.788243135685066,-8.95350307193914e-05,4.26820491130561e-07,-2.17228709914702e-10,4.72827006685863e-14,-3.95783573723031e-18,,,,,-1.83547071303261,0.079755472988971,-4.79437342293487e-05,1.79827024799132e-08,-2.917831606951e-12,2.99914673140133e-17,,,,,"shaft limit standard (HS 410 hp); burst buttress/welded; min casing 7.000 in | QA review accepted: eff: rmse 0.80% of axis span; eff: max residual 3.14% of axis span; eff: degree 6 would meet the residual limit (0.37% of span) -- extraction looks clean, 5th-degree form is limiting | work folder reda_SN2600"
