flow_bpd,power
1.11387,1.2453
12.1688,1.24919
23.2237,1.24919
34.2787,1.25308
45.3336,1.25308
56.3885,1.25697
67.4435,1.25697
78.4984,1.26086
89.5533,1.26086
100.608,1.26476
111.663,1.26476
122.718,1.26865
133.773,1.26865
144.828,1.27254
155.883,1.27254
166.938,1.27643
177.993,1.28033
189.048,1.28033
200.103,1.28422
211.158,1.28811
222.213,1.28811
233.267,1.292
244.322,1.292
255.377,1.2959
266.432,1.2959
277.487,1.29979
288.542,1.30368
299.597,1.30368
310.652,1.31146
321.707,1.31146
332.762,1.31536
343.817,1.31925
354.872,1.31925
365.927,1.32314
376.982,1.32703
388.037,1.33093
399.091,1.33093
410.146,1.33482
421.201,1.33871
432.256,1.3426
443.311,1.3426
454.366,1.35039
465.421,1.35039
476.476,1.35428
487.531,1.35817
498.586,1.35817
509.641,1.36596
520.696,1.36596
531.751,1.36985
542.806,1.37374
553.86,1.37763
564.915,1.38153
575.97,1.38153
587.025,1.38931
598.08,1.38931
609.135,1.3932
620.19,1.3971
631.245,1.40099
642.3,1.40488
653.355,1.40877
664.41,1.41267
675.465,1.41267
686.52,1.42045
697.575,1.42045
708.63,1.42823
719.684,1.42823
730.739,1.43602
741.794,1.43602
752.849,1.4438
763.904,1.4438
774.959,1.4477
786.014,1.45159
797.069,1.45548
808.124,1.45937
819.179,1.46327
830.234,1.46716
841.289,1.47105
852.344,1.47494
863.399,1.47883
874.454,1.48273
885.508,1.48662
896.563,1.49051
907.618,1.4944
918.673,1.4983
929.728,1.50219
940.783,1.50608
951.838,1.50997
962.893,1.51387
973.948,1.51776
985.003,1.52165
996.058,1.52943
1007.11,1.52943
1018.17,1.53722
1029.22,1.53722
1040.28,1.545
1051.33,1.545
1062.39,1.55279
1073.44,1.55279
1084.5,1.56057
1095.55,1.56057
1106.61,1.56836
1117.66,1.56836
1128.72,1.57614
1139.77,1.57614
1150.83,1.58393
1161.88,1.58782
1172.94,1.59171
1183.99,1.5956
1195.05,1.5995
1206.1,1.60728
1217.16,1.60728
1228.21,1.61507
1239.27,1.61507
1250.32,1.62285
1261.38,1.62285
1272.43,1.63064
1283.49,1.63064
1294.54,1.63842
1305.6,1.63842
1316.65,1.6462
1327.71,1.6462
1338.76,1.65399
1349.82,1.65788
1360.87,1.66177
1371.93,1.66567
1382.98,1.66956
1394.04,1.67734
1405.09,1.67734
1416.15,1.68513
1427.2,1.68513
1438.26,1.69291
1449.31,1.69291
1460.36,1.7007
1471.42,1.7007
1482.47,1.70848
1493.53,1.70848
1504.58,1.71627
1515.64,1.72016
1526.69,1.72405
1537.75,1.72794
1548.8,1.73184
1559.86,1.73962
1570.91,1.73962
1581.97,1.74741
1593.02,1.74741
1604.08,1.75519
1615.13,1.75519
1626.19,1.76297
1637.24,1.76297
1648.3,1.77076
1659.35,1.77076
1670.41,1.77854
1681.46,1.77854
1692.52,1.78633
1703.57,1.78633
1714.63,1.79411
1725.68,1.79411
1736.74,1.8019
1747.79,1.80579
1758.85,1.80968
1769.9,1.81357
1780.96,1.81747
1792.01,1.82136
1803.07,1.82525
1814.12,1.82914
1825.18,1.83304
1836.23,1.83693
1847.29,1.84082
1858.34,1.84471
1869.4,1.84861
1880.45,1.8525
1891.51,1.85639
1902.56,1.86028
1913.62,1.86417
1924.67,1.86807
1935.73,1.87196
1946.78,1.87585
1957.84,1.87974
1968.89,1.88364
1979.95,1.88753
1991,1.88753
2002.06,1.89531
2013.11,1.89531
2024.17,1.9031
2035.22,1.9031
2046.28,1.91088
2057.33,1.91088
2068.39,1.91478
2079.44,1.91867
2090.5,1.92645
2101.55,1.92645
2112.61,1.93034
2123.66,1.93424
2134.72,1.93813
2145.77,1.94202
2156.83,1.94591
2167.88,1.94981
2178.94,1.94981
2189.99,1.95759
2201.05,1.95759
2212.1,1.96538
2223.16,1.96538
2234.21,1.96927
2245.27,1.97316
2256.32,1.97705
2267.38,1.98094
2278.43,1.98094
2289.48,1.98873
2300.54,1.98873
2311.59,1.99651
2322.65,1.99651
2333.7,2.00041
2344.76,2.0043
2355.81,2.0043
2366.87,2.01208
2377.92,2.01208
2388.98,2.01598
2400.03,2.01987
2411.09,2.02376
2422.14,2.02765
2433.2,2.02765
2444.25,2.03544
2455.31,2.03544
2466.36,2.03933
2477.42,2.04322
2488.47,2.04322
2499.53,2.05101
2510.58,2.05101
2521.64,2.0549
2532.69,2.05879
2543.75,2.05879
2554.8,2.06268
2565.86,2.06658
2576.91,2.07047
2587.97,2.07047
2599.02,2.07436
2610.08,2.07825
2621.13,2.08215
2632.19,2.08215
2643.24,2.08604
2654.3,2.08993
2665.35,2.09382
2676.41,2.09771
2687.46,2.09771
2698.52,2.10161
2709.57,2.1055
2720.63,2.1055
2731.68,2.10939
2742.74,2.11328
2753.79,2.11328
2764.85,2.11718
2775.9,2.12107
2786.96,2.12107
2798.01,2.12496
2809.07,2.12885
