flow_bpd,head
6.19237,136.955
77.267,137.111
148.342,136.955
219.416,136.8
290.491,136.8
361.565,136.8
432.64,136.644
503.715,136.644
574.789,136.488
645.864,136.488
716.938,136.333
788.013,136.333
859.088,136.177
930.162,136.177
1001.24,136.177
1072.31,136.022
1143.39,136.022
1214.46,135.866
1285.54,135.866
1356.61,135.866
1427.68,135.711
1498.76,135.711
1569.83,135.555
1640.91,135.555
1711.98,135.555
1783.06,135.4
1854.13,135.4
1925.21,135.244
1996.28,135.244
2067.36,135.244
2138.43,135.244
2209.51,135.088
2280.58,135.088
2351.65,135.088
2422.73,134.933
2493.8,134.933
2564.88,134.933
2635.95,134.777
2707.03,134.777
2778.1,134.777
2849.18,134.622
2920.25,134.622
2991.33,134.622
3062.4,134.622
3133.47,134.466
3204.55,134.466
3275.62,134.466
3346.7,134.311
3417.77,134.311
3488.85,134.311
3559.92,134.311
3631,134.155
3702.07,134.155
3773.15,134.155
3844.22,134
3915.3,134
3986.37,134
4057.44,134
4128.52,133.844
4199.59,133.844
4270.67,133.844
4341.74,133.689
4412.82,133.689
4483.89,133.689
4554.97,133.689
4626.04,133.533
4697.12,133.533
4768.19,133.533
4839.27,133.377
4910.34,133.377
4981.41,133.377
5052.49,133.377
5123.56,133.377
5194.64,133.222
5265.71,133.222
5336.79,133.222
5407.86,133.066
5478.94,133.066
5550.01,133.066
5621.09,133.066
5692.16,132.911
5763.24,132.911
5834.31,132.911
5905.38,132.755
5976.46,132.755
6047.53,132.755
6118.61,132.755
6189.68,132.6
6260.76,132.6
6331.83,132.6
6402.91,132.444
6473.98,132.444
6545.06,132.444
6616.13,132.444
6687.21,132.289
6758.28,132.289
6829.35,132.133
6900.43,132.133
6971.5,132.133
7042.58,131.977
7113.65,131.977
7184.73,131.977
7255.8,131.822
7326.88,131.822
7397.95,131.822
7469.03,131.822
7540.1,131.666
7611.17,131.666
7682.25,131.511
7753.32,131.511
7824.4,131.355
7895.47,131.355
7966.55,131.355
8037.62,131.2
8108.7,131.2
8179.77,131.2
8250.85,131.044
8321.92,131.044
8393,131.044
8464.07,130.889
8535.14,130.889
8606.22,130.733
8677.29,130.733
8748.37,130.577
8819.44,130.577
8890.52,130.577
8961.59,130.422
9032.67,130.422
9103.74,130.266
9174.82,130.266
9245.89,130.266
9316.97,130.111
9388.04,130.111
9459.11,129.955
9530.19,129.955
9601.26,129.8
9672.34,129.8
9743.41,129.644
9814.49,129.644
9885.56,129.489
9956.64,129.333
10027.7,129.333
10098.8,129.333
10169.9,129.177
10240.9,129.022
10312,129.022
10383.1,129.022
10454.2,128.866
10525.2,128.711
10596.3,128.711
10667.4,128.555
10738.5,128.555
10809.5,128.4
10880.6,128.4
10951.7,128.244
11022.8,128.089
11093.8,128.089
11164.9,127.933
11236,127.777
11307.1,127.777
11378.1,127.622
11449.2,127.466
11520.3,127.466
11591.4,127.311
11662.4,127.155
11733.5,127.155
11804.6,127
11875.7,126.844
11946.7,126.844
12017.8,126.689
12088.9,126.533
12159.9,126.533
12231,126.377
12302.1,126.222
12373.2,126.222
12444.2,126.066
12515.3,125.911
12586.4,125.911
12657.5,125.6
12728.5,125.6
12799.6,125.444
12870.7,125.289
12941.8,125.289
13012.8,124.977
13083.9,124.977
13155,124.822
13226.1,124.666
13297.1,124.511
13368.2,124.355
13439.3,124.355
13510.4,124.2
13581.4,124.044
13652.5,123.889
13723.6,123.733
13794.7,123.733
13865.7,123.422
13936.8,123.422
14007.9,123.266
14079,123.111
14150,122.955
14221.1,122.8
14292.2,122.644
14363.3,122.489
14434.3,122.333
14505.4,122.177
14576.5,122.022
14647.6,121.866
14718.6,121.866
14789.7,121.555
14860.8,121.4
14931.9,121.244
15002.9,121.244
15074,120.933
15145.1,120.933
15216.2,120.622
15287.2,120.466
15358.3,120.311
15429.4,120.155
15500.5,120
15571.5,119.844
15642.6,119.689
15713.7,119.378
15784.8,119.378
15855.8,119.066
15926.9,119.066
15998,118.755
16069.1,118.755
16140.1,118.444
16211.2,118.444
16282.3,118.133
16353.4,117.822
16424.4,117.822
16495.5,117.511
16566.6,117.511
16637.6,117.2
16708.7,116.889
16779.8,116.889
16850.9,116.578
16921.9,116.578
16993,116.266
17064.1,115.955
17135.2,115.955
17206.2,115.644
17277.3,115.333
17348.4,115.333
17419.5,115.022
17490.5,114.866
17561.6,114.711
17632.7,114.4
17703.8,114.4
17774.8,114.089
17845.9,113.778
17917,113.778
17988.1,113.466
18059.1,113.155
18130.2,113.155
18201.3,112.844
18272.4,112.533
18343.4,112.222
18414.5,112.222
18485.6,111.911
18556.7,111.6
18627.7,111.6
18698.8,111.289
18769.9,110.978
18841,110.978
18912,110.666
18983.1,110.355
19054.2,110.044
19125.3,110.044
19196.3,109.733
19267.4,109.422
19338.5,109.111
19409.6,109.111
19480.6,108.8
19551.7,108.489
19622.8,108.178
19693.9,108.178
19764.9,107.866
19836,107.555
19907.1,107.244
19978.2,107.089
20049.2,106.933
20120.3,106.622
20191.4,106.311
20262.5,106
20333.5,105.844
20404.6,105.689
20475.7,105.378
20546.8,105.067
20617.8,104.755
20688.9,104.444
20760,104.289
20831.1,104.133
20902.1,103.822
20973.2,103.511
21044.3,103.2
21115.3,102.889
21186.4,102.733
21257.5,102.578
21328.6,102.267
21399.6,101.955
21470.7,101.644
21541.8,101.333
21612.9,101.022
21683.9,100.867
21755,100.711
21826.1,100.4
21897.2,100.089
21968.2,99.7777
22039.3,99.4666
22110.4,99.1554
22181.5,98.8443
22252.5,98.5332
22323.6,98.3777
22394.7,98.0666
22465.8,97.7555
22536.8,97.4443
22607.9,97.2888
22679,96.9777
